magic_number,mode,euler_x,euler_y,dt,dt_observer,footer,
3735928559,0,-0.006036772392690182,0.41848430037498474,0.002114000031724572,62821752.0,3405707998,
3735928559,0,-0.036236923187971115,0.46290120482444763,0.0011599999852478504,62885316.0,3405707998,
3735928559,0,-0.058149755001068115,0.49136418104171753,0.001151000033132732,62947008.0,3405707998,
3735928559,0,-0.08595366030931473,0.5095207095146179,0.0019249999895691872,63009828.0,3405707998,
3735928559,0,-0.1272629201412201,0.5283982753753662,0.0011709999525919557,63075360.0,3405707998,
3735928559,0,-0.17633379995822906,0.5375646948814392,0.001167000038549304,63137268.0,3405707998,
3735928559,0,-0.22501078248023987,0.5300073623657227,0.0011759999906644225,63198584.0,3405707998,
3735928559,0,-0.2692059278488159,0.52263343334198,0.0021379999816417694,63262464.0,3405707998,
3735928559,0,-0.3235973119735718,0.5109145045280457,0.0011520000407472253,63327868.0,3405707998,
3735928559,0,-0.37893638014793396,0.49096861481666565,0.0011530000483617187,63388944.0,3405707998,
3735928559,0,-0.42604920268058777,0.4396405518054962,0.001158999977633357,63449664.0,3405707998,
3735928559,0,-0.45037582516670227,0.3705339729785919,0.002116000046953559,63512216.0,3405707998,
3735928559,0,-0.461858868598938,0.2711917757987976,0.0011579999700188637,63578168.0,3405707998,
3735928559,0,-0.4928050637245178,0.14124466478824615,0.0011620000004768372,63639920.0,3405707998,
3735928559,0,-0.5378684401512146,0.0034805473405867815,0.0011599999852478504,63701208.0,3405707998,
3735928559,0,-0.5825591087341309,-0.13635629415512085,0.0011650000233203173,63767568.0,3405707998,
3735928559,0,-0.6141868233680725,-0.2736254632472992,0.0011599999852478504,63831516.0,3405707998,
3735928559,0,-0.6145782470703125,-0.39028114080429077,0.0011579999700188637,63892204.0,3405707998,
3735928559,0,-0.5382099747657776,-0.482456237077713,0.0021389999892562628,63956432.0,3405707998,
3735928559,0,-0.36796215176582336,-0.5302735567092896,0.0011699999449774623,64021996.0,3405707998,
3735928559,1,-0.2428547590970993,-0.5573345422744751,0.0016270000487565994,64088512.0,3405707998,
3735928559,1,-0.12608690559864044,-0.5268672704696655,0.0017659999430179596,64158676.0,3405707998,
3735928559,1,-0.02029947191476822,-0.4646240472793579,0.0013719999697059393,64231384.0,3405707998,
3735928559,1,0.002670047339051962,-0.41102421283721924,0.0013760000001639128,64299592.0,3405707998,
3735928559,1,0.0034475945867598057,-0.2944580912590027,0.001373999984934926,64372908.0,3405707998,
3735928559,1,0.025124674662947655,-0.1384355127811432,0.0013729999773204327,64442992.0,3405707998,
3735928559,1,0.057262662798166275,0.00523063400760293,0.0015670000575482845,64514864.0,3405707998,
3735928559,1,0.0780298262834549,0.08576247096061707,0.0013760000001639128,64585784.0,3405707998,
3735928559,1,0.07178592681884766,0.09815391898155212,0.0021430000197142363,64656520.0,3405707998,
3735928559,1,0.056957464665174484,0.08514521270990372,0.002365000080317259,64729604.0,3405707998,
3735928559,1,0.03332364931702614,0.05858546867966652,0.0013760000001639128,64797664.0,3405707998,
3735928559,1,0.017912937328219414,0.022030847147107124,0.0021510000806301832,64871200.0,3405707998,
